,zipcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,80002,Park,Other Repair Shop,Construction & Landscaping,Yoga Studio,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court
1,80003,Sporting Goods Shop,Sandwich Place,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
2,80004,Public Art,Convenience Store,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
3,80007,Construction & Landscaping,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
4,80010,Mexican Restaurant,Fast Food Restaurant,Pizza Place,Convenience Store,Food Truck,Marijuana Dispensary,Coffee Shop,Park,Fried Chicken Joint,Cosmetics Shop
5,80011,Fast Food Restaurant,Mexican Restaurant,Pharmacy,Coffee Shop,Breakfast Spot,Fried Chicken Joint,Flower Shop,Music Venue,Luggage Store,Chinese Restaurant
6,80012,Pizza Place,Convenience Store,Furniture / Home Store,Mexican Restaurant,Fast Food Restaurant,Moroccan Restaurant,Restaurant,Chinese Restaurant,Breakfast Spot,Donut Shop
7,80013,Smoke Shop,Park,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
8,80014,Golf Course,Business Service,Advertising Agency,American Restaurant,Coffee Shop,Gym / Fitness Center,Food Service,Flea Market,Flower Shop,Food
9,80015,Bar,Park,Baseball Field,American Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court,Yoga Studio
10,80016,Pizza Place,American Restaurant,Gym,Health & Beauty Service,Insurance Office,Discount Store,Diner,French Restaurant,Forest,Football Stadium
11,80017,Shopping Mall,Dessert Shop,Asian Restaurant,Mexican Restaurant,Shipping Store,Liquor Store,Sandwich Place,Salon / Barbershop,Grocery Store,Park
12,80018,Convenience Store,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
13,80020,Park,Department Store,Burrito Place,Liquor Store,Fast Food Restaurant,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck
14,80021,Bank,Pizza Place,Burrito Place,Fast Food Restaurant,Furniture / Home Store,Home Service,Sandwich Place,Convenience Store,Mexican Restaurant,Shipping Store
15,80022,Mexican Restaurant,Bar,Yoga Studio,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
16,80026,Brewery,Salon / Barbershop,Pizza Place,Convenience Store,Coffee Shop,Mediterranean Restaurant,BBQ Joint,Soccer Field,Gas Station,Fast Food Restaurant
17,80027,Bagel Shop,Park,Food,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
18,80030,Deli / Bodega,Convenience Store,Mexican Restaurant,Donut Shop,Food Service,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court
19,80031,Golf Course,Soccer Stadium,Convenience Store,Comedy Club,Yoga Studio,Food,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop
20,80033,Pool,Home Service,Garden Center,Italian Restaurant,Café,Gym,Bakery,Alternative Healer,Dive Bar,Fast Food Restaurant
21,80045,Coffee Shop,Indian Restaurant,Gym / Fitness Center,Sandwich Place,Café,Brewery,Pharmacy,American Restaurant,Eye Doctor,Football Stadium
22,80104,Football Stadium,Trail,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Food Truck,Food Service,Food Court
23,80109,Playground,Multiplex,Park,Eye Doctor,Forest,Football Stadium,Food Truck,Food Service,Food Court,Food
24,80110,Mexican Restaurant,Chinese Restaurant,Baseball Field,Restaurant,Pet Store,Pizza Place,Smoke Shop,Convenience Store,Video Game Store,Japanese Restaurant
25,80111,Park,Tennis Court,Playground,Pilates Studio,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Farm
26,80112,Deli / Bodega,BBQ Joint,Hotel,Train Station,Convenience Store,Breakfast Spot,Pharmacy,Liquor Store,Bank,Mexican Restaurant
27,80120,Business Service,Electronics Store,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
28,80121,Bakery,Clothing Store,Spa,Pizza Place,Coffee Shop,Seafood Restaurant,Shipping Store,Shopping Mall,Mobile Phone Shop,Breakfast Spot
29,80122,Pizza Place,Sandwich Place,Snack Place,Bar,Taco Place,Gift Shop,Liquor Store,Sports Bar,Gas Station,Mediterranean Restaurant
30,80123,Pool,Art Gallery,Golf Course,Business Service,Farmers Market,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
31,80124,Dry Cleaner,Yoga Studio,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
32,80126,Park,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
33,80127,Fast Food Restaurant,Skating Rink,Construction & Landscaping,Home Service,Yoga Studio,Food,Financial or Legal Service,Flea Market,Flower Shop,Food Service
34,80129,Gym,Pool,Thrift / Vintage Store,Liquor Store,Mexican Restaurant,Food,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop
35,80130,Playground,Construction & Landscaping,Golf Driving Range,Golf Course,Dog Run,Park,Soccer Field,Food Service,Food Court,Food
36,80132,Coffee Shop,Pizza Place,Sandwich Place,Sushi Restaurant,Mexican Restaurant,Shipping Store,Fast Food Restaurant,Salon / Barbershop,Chinese Restaurant,Grocery Store
37,80133,Home Service,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
38,80134,Construction & Landscaping,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
39,80202,American Restaurant,Hotel,Mexican Restaurant,Steakhouse,Cocktail Bar,Italian Restaurant,Coffee Shop,Seafood Restaurant,Bar,Pizza Place
40,80203,Nightclub,Coffee Shop,Pizza Place,Bar,Sandwich Place,Italian Restaurant,Mexican Restaurant,Convenience Store,Wine Bar,Taco Place
41,80204,Gym / Fitness Center,Light Rail Station,Herbs & Spices Store,Spa,Ski Shop,Mexican Restaurant,Food Truck,Taco Place,Baseball Field,Gym
42,80205,Park,Bar,Dog Run,Yoga Studio,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court,Food Service
43,80206,Botanical Garden,Coffee Shop,Pool,American Restaurant,Health & Beauty Service,Park,Tennis Court,Fast Food Restaurant,Financial or Legal Service,Flea Market
44,80207,Rock Club,Yoga Studio,Eye Doctor,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court,Food
45,80209,Park,Pizza Place,Health & Beauty Service,Flower Shop,Yoga Studio,Fast Food Restaurant,Financial or Legal Service,Flea Market,Food,Food Court
46,80210,Coffee Shop,Breakfast Spot,Sandwich Place,Pizza Place,Dessert Shop,Bike Rental / Bike Share,Japanese Restaurant,Café,Mediterranean Restaurant,Mexican Restaurant
47,80211,Marijuana Dispensary,Mexican Restaurant,Convenience Store,Liquor Store,Bed & Breakfast,Event Space,Gym / Fitness Center,Ski Area,Chinese Restaurant,Diner
