,zipcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,80002,Park,Fast Food Restaurant,Asian Restaurant,Mexican Restaurant,Pizza Place,Italian Restaurant,Sandwich Place,Big Box Store,Burger Joint,Discount Store
1,80003,Park,Fast Food Restaurant,Ramen Restaurant,Home Service,Baseball Field,Bank,Chinese Restaurant,Coffee Shop,Big Box Store,Mobile Phone Shop
2,80004,Frozen Yogurt Shop,Laundromat,Bakery,Mexican Restaurant,Gym,Chinese Restaurant,Fast Food Restaurant,Tennis Court,Grocery Store,Pharmacy
3,80005,Sandwich Place,Construction & Landscaping,Baseball Field,Pet Service,Fast Food Restaurant,Gym,Pizza Place,Liquor Store,Bank,Convenience Store
4,80007,Park,Bar,Museum,Event Space,Gym,Lake,Golf Course,Business Service,Zoo,Fondue Restaurant
5,80010,Mexican Restaurant,Fast Food Restaurant,Chinese Restaurant,Discount Store,Convenience Store,Theater,Sandwich Place,Clothing Store,Marijuana Dispensary,Bakery
6,80011,Fast Food Restaurant,Convenience Store,Mexican Restaurant,Chinese Restaurant,Breakfast Spot,Sandwich Place,Gas Station,Fried Chicken Joint,Shipping Store,Grocery Store
7,80012,Mexican Restaurant,Chinese Restaurant,Pizza Place,Thai Restaurant,Hotel,Breakfast Spot,Liquor Store,Gym / Fitness Center,Mobile Phone Shop,Fast Food Restaurant
8,80013,Sandwich Place,Coffee Shop,Convenience Store,Fast Food Restaurant,Dessert Shop,Locksmith,Grocery Store,Salon / Barbershop,Park,Pizza Place
9,80014,Hotel,Rental Car Location,Sandwich Place,Bar,Coffee Shop,Greek Restaurant,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
10,80015,Park,Coffee Shop,Convenience Store,Bar,Pizza Place,Baseball Field,Liquor Store,Pool,Grocery Store,Fast Food Restaurant
